CSV_ROW,STATUS,ANEXO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO,VALORES_ENCONTRADOS_NO_PDF_PARA_CHAVE
163,MATCH_EXATO,ANEXO XLIV,Excepcional,Médio,5.0,40.0,50.0,
164,MATCH_EXATO,ANEXO XLIV,Excepcional,Alto,10.0,50.0,70.0,
165,MATCH_EXATO,ANEXO XLV,Mínimo,Baixo,0.0,0.0,1.0,
166,MATCH_EXATO,ANEXO XLV,Mínimo,Médio,0.0,0.0,1.0,
167,MATCH_EXATO,ANEXO XLV,Médio,Baixo,0.0,0.0,1.0,
168,MATCH_EXATO,ANEXO XLV,Médio,Médio,0.0,0.0,1.0,
169,MATCH_EXATO,ANEXO XLV,Excepcional,Baixo,0.0,0.0,1.0,
170,MATCH_EXATO,ANEXO XLV,Excepcional,Médio,0.0,0.0,1.0,
171,MATCH_EXATO,ANEXO XLVI,Mínimo,Baixo,5.0,8.0,10.0,
172,MATCH_EXATO,ANEXO XLVI,Pequeno,Baixo,10.0,15.0,30.0,
173,MATCH_EXATO,ANEXO XLVI,Médio,Baixo,10.0,20.0,50.0,
174,MATCH_EXATO,ANEXO XLVI,Grande,Baixo,10.0,25.0,70.0,
175,MATCH_EXATO,ANEXO XLVI,Excepcional,Baixo,15.0,40.0,100.0,
