anexo,descricao_tabela,porte,potencial_poluidor,tlp_upfs,tli_upfs,tlo_upfs
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Pequeno,Alto,10,45,90
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Grande,Baixo,10,35,35
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Grande,Médio,10,35,50
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Grande,Alto,10,60,120
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Excepcional,Baixo,10,55,55
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Excepcional,Médio,10,45,100
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Excepcional,Alto,10,90,140
ANEXO XXVIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 77.1  do ANEXO I",-,Alto,100,100,120
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79  do ANEXO I",Mínimo,Alto,80,125,300
ANEXO  XXXVIII,"Tabela de valores da TLP, TLI e TLO  do empreendimento descrito no ITEM  79.11 do ANEXO  I",Pequeno,Alto,30,40,1
ANEXO  XXXVIII,"Tabela de valores da TLP, TLI e TLO  do empreendimento descrito no ITEM  79.11 do ANEXO  I",Pequeno,Alto,40,50,1
ANEXO  XXXVIII,"Tabela de valores da TLP, TLI e TLO  do empreendimento descrito no ITEM  79.11 do ANEXO  I",Grande,Alto,50,60,1
ANEXO  XXXVIII,"Tabela de valores da TLP, TLI e TLO  do empreendimento descrito no ITEM  79.11 do ANEXO  I",Grande,Alto,60,70,1
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Médio,Alto,15,45,45
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Pequeno,Alto,30,60,75
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Pequeno,Alto,45,100,120
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Grande,Alto,100,160,380
ANEXO XXXIX,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito",Grande,Alto,150,270,620
ANEXO XL,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no ite m 81.9  do ANEXO I",Pequeno,Médio,5,10,15
ANEXO XL,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no ite m 81.9  do ANEXO I",Pequeno,Médio,10,15,30
ANEXO XL,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no ite m 81.9  do ANEXO I",Grande,Médio,10,30,60
ANEXO XL,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no ite m 81.9  do ANEXO I",Grande,Médio,10,40,100
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10  do ANEXO I",Mínimo,Médio,10,40,100
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10  do ANEXO I",Pequeno,Médio,10,50,130
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10  do ANEXO I",Pequeno,Médio,10,60,160
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10  do ANEXO I",Grande,Médio,10,70,190
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10  do ANEXO I",Grande,Médio,10,80,220
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Mínimo,Médio,20,40,150
