ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Excepcional,Alto,10.0,50.0,70.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Excepcional,Médio,5.0,40.0,50.0
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Mínimo,Baixo,5.0,8.0,10.0
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Pequeno,Baixo,10.0,15.0,30.0
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Pequeno,Médio,10.0,20.0,50.0
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Grande,Baixo,10.0,25.0,70.0
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Excepcional,Baixo,15.0,40.0,100.0
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",-,Alto,10.0,20.0,40.0
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Pequeno,Alto,10.0,25.0,60.0
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Pequeno,Alto,10.0,35.0,100.0
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Grande,Alto,10.0,60.0,150.0
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Excepcional,Alto,10.0,90.0,250.0
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 15 do ANEXO I",Mínimo,Alto,10.0,12.0,12.0
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 15 do ANEXO I",Pequeno,Alto,15.0,25.0,40.0
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 15 do ANEXO I",Pequeno,Médio,20.0,50.0,150.0
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 15 do ANEXO I",Grande,Alto,30.0,100.0,300.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Alto,10.0,60.0,120.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Alto,10.0,80.0,170.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Baixo,10.0,25.0,50.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Médio,10.0,20.0,60.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Médio,10.0,45.0,120.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Médio,Alto,10.0,40.0,80.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Grande,Alto,10.0,100.0,230.0
