anexo,descricao_tabela,porte,potencial_poluidor,tlp_ufar,tli_ufar,tlo_ufar,fonte,tlp_upfs,tli_upfs,tlo_upfs
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Grande,Alto,57.0,114.0,137.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Excepcional,Alto,68.0,137.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4.1doANEXOI",-,Alto,12.0,17.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Mínimo,Alto,17.0,28.0,28.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Pequeno,Alto,29.0,57.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Pequeno,Médio,40.0,80.0,80.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Grande,Alto,46.0,91.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Excepcional,Alto,57.0,114.0,137.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Mínimo,Alto,34.0,40.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Pequeno,Alto,40.0,46.0,51.0,Ariquemes Lei 2.349/2019 (Anexos),,,
