ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Mínimo,Baixo,1,1,1
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Mínimo,Médio,1,1,1
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Pequeno,Baixo,1,1,1
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Pequeno,Médio,1,1,1
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Médio,Baixo,1,1,2
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Médio,Médio,11,11,23
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Grande,Baixo,34,34,34
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Grande,Médio,57,57,57
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Excepcional,Baixo,68,68,68
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Excepcional,Médio,102,102,102
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Mínimo,Médio,6,6,6
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Mínimo,Alto,11,11,34
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Pequeno,Médio,6,11,23
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Pequeno,Alto,11,22,46
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Médio,Médio,6,23,34
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Médio,Alto,11,34,57
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Grande,Médio,6,34,44
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Grande,Alto,11,45,68
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Excepcional,Médio,6,45,57
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Excepcional,Alto,11,57,80
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Mínimo,Baixo,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Mínimo,Médio,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Pequeno,Baixo,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Pequeno,Médio,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Médio,Baixo,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Médio,Médio,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Grande,Baixo,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Grande,Médio,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Excepcional,Baixo,0,0,1
ANEXOXLV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90doANEXOI",Excepcional,Médio,0,0,1
ANEXOXLVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90.2doANEXOI",Mínimo,Baixo,6,9,11
ANEXOXLVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90.2doANEXOI",Pequeno,Baixo,11,17,34
ANEXOXLVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90.2doANEXOI",Médio,Baixo,11,23,57
ANEXOXLVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90.2doANEXOI",Grande,Baixo,11,28,80
ANEXOXLVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM90.2doANEXOI",Excepcional,Baixo,17,46,114
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Mínimo,Alto,12,23,46
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Pequeno,Alto,12,29,68
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Médio,Alto,12,40,114
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Grande,Alto,12,68,171
ANEXOXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM14doANEXOI",Excepcional,Alto,12,103,285
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Mínimo,Alto,12,14,14
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Pequeno,Alto,17,29,46
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Médio,Alto,23,57,171
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Grande,Alto,34,114,342
ANEXOXVI,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM15doANEXOI.",Excepcional,Alto,46,228,456
