ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Médio,Médio,10.0,30.0,50.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Médio,Alto,130.0,130.0,400.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Médio,Baixo,125.0,125.0,125.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Grande,Médio,10.0,80.0,130.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Grande,Alto,380.0,380.0,910.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Grande,Baixo,280.0,280.0,280.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Excepcional,Médio,10.0,120.0,230.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Excepcional,Alto,700.0,700.0,1400.0
ANEXO XX,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITE M 76.1 do ANEXO I",Pequeno,Alto,20.0,100.0,150.0
ANEXO XX,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITE M 76.1 do ANEXO I",Grande,Alto,20.0,200.0,250.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Mínimo,Médio,5.0,5.0,5.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Pequeno,Médio,10.0,10.0,10.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Médio,Médio,15.0,15.0,15.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Grande,Médio,30.0,30.0,30.0
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Excepcional,Médio,50.0,50.0,50.0
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Mínimo,Alto,30.0,125.0,270.0
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Pequeno,Alto,50.0,160.0,380.0
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Médio,Alto,60.0,280.0,620.0
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Grande,Alto,80.0,400.0,1000.0
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Excepcional,Alto,125.0,500.0,1500.0
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Mínimo,Alto,30.0,125.0,125.0
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Pequeno,Alto,60.0,160.0,160.0
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Médio,Alto,100.0,280.0,380.0
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Grande,Alto,150.0,380.0,1100.0
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Excepcional,Alto,220.0,700.0,1500.0
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Mínimo,Alto,2.0,2.0,2.0
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Pequeno,Alto,4.0,4.0,4.0
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Médio,Alto,6.0,6.0,6.0
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Grande,Alto,8.0,8.0,8.0
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Excepcional,Alto,10.0,10.0,10.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Baixo,5.0,5.0,5.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Médio,10.0,10.0,25.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Alto,10.0,15.0,40.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Baixo,8.0,8.0,8.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Médio,10.0,15.0,30.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Alto,10.0,30.0,60.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Baixo,10.0,25.0,25.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Médio,Médio,10.0,25.0,40.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Médio,Alto,10.0,45.0,90.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Médio,Baixo,10.0,35.0,35.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Médio,10.0,35.0,50.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Alto,10.0,60.0,120.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Baixo,10.0,55.0,55.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Excepcional,Médio,10.0,45.0,100.0
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Excepcional,Alto,10.0,90.0,140.0
ANEXO XXVIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 77.1 do ANEXO I",-,Alto,100.0,100.0,120.0
ANEXO XXXI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 77.17 do ANEXO I",-,Médio,5.0,5.0,5.0
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Mínimo,Alto,80.0,125.0,300.0
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Pequeno,Alto,100.0,160.0,400.0
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Médio,Alto,120.0,220.0,600.0
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Grande,Alto,150.0,380.0,700.0
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Excepcional,Alto,180.0,430.0,1000.0
